"txn_date","new_case","total_case","new_case_excludeabroad","total_case_excludeabroad","new_death","total_death","new_recovered","total_recovered"
"2021-04-01",26,28889,21,25787,0,94,122,27548
"2021-04-02",58,28947,45,25832,0,94,58,27606
"2021-04-03",84,29031,69,25901,1,95,62,27668
"2021-04-04",96,29127,87,25988,0,95,106,27774
"2021-04-05",194,29321,182,26170,0,95,66,27840
"2021-04-06",250,29571,245,26415,0,95,108,27948
"2021-04-07",334,29905,327,26742,0,95,121,28069
"2021-04-08",405,30310,391,27133,0,95,32,28101
"2021-04-09",559,30869,549,27682,1,96,27,28128
"2021-04-10",789,31658,781,28463,1,97,33,28161
"2021-04-11",967,32625,964,29427,0,97,53,28214
"2021-04-12",985,33610,980,30407,0,97,34,28248
"2021-04-13",965,34575,956,31363,0,97,40,28288
"2021-04-14",1338,35913,1330,32693,0,97,34,28322
"2021-04-15",1543,37456,1540,34233,0,97,61,28383
"2021-04-16",1582,39038,1576,35809,3,100,97,28480
"2021-04-17",1547,40585,1544,37353,0,100,90,28570
"2021-04-18",1767,42352,1765,39118,1,101,113,28683
