"txn_date","new_case","total_case","new_case_excludeabroad","total_case_excludeabroad","new_death","total_death","new_recovered","total_recovered"
"2021-04-19",1390,43742,1386,40504,3,104,104,28787
"2021-04-20",1443,45185,1441,41945,4,108,171,28958
"2021-04-21",1458,46643,1454,43399,2,110,413,29371
"2021-04-22",1470,48113,1470,44869,7,117,477,29848
"2021-04-23",2070,50183,2062,46931,4,121,341,30189
"2021-04-24",2839,53022,2827,49758,8,129,377,30566
"2021-04-25",2438,55460,2433,52191,11,140,547,31113
"2021-04-26",2048,57508,2037,54228,8,148,480,31593
"2021-04-27",2179,59687,2174,56402,15,163,1958,33551
"2021-04-28",2012,61699,2001,58403,15,178,851,34402
"2021-04-29",1871,63570,1864,60267,10,188,992,35394
"2021-04-30",1583,65153,1579,61846,15,203,860,36254
"2021-05-01",1891,67044,1884,63730,21,224,1821,38075
"2021-05-02",1940,68984,1930,65660,21,245,1183,39258
"2021-05-03",2041,71025,2040,67700,31,276,1726,40984
"2021-05-04",1763,72788,1750,69450,27,303,1490,42474
