Study_ID,Type,Group1,Group2,LOD,Variant,Num_ppl,Day_measure,NAb_mean,NAb_SD,NAb_l95,NAb_u95,NAb_med,NAb_q1,NAb_q3,NAb_min,NAb_max,LOD_50,DOI
Pf9_DB,,PF_Pf,18to59,1.602059991,Mu,14,28,1.929418926,,1.78332461,2.123194805,,,,,,Y,
Pf9_DB,,ConvNR,18to59,1.602059991,WT,13,35,2.906335042,,2.633468456,3.206556044,,,,,,Y,
Pf9_DB,,ConvNR,18to59,1.602059991,Alpha,13,35,2.5774918,,2.28780173,2.896526217,,,,,,Y,
Pf9_DB,,ConvNR,18to59,1.602059991,Beta,13,35,2.184691431,,1.832508913,2.505149978,,,,,,Y,
Pf9_DB,,ConvNR,18to59,1.602059991,Gamma,13,35,2.552668216,,2.220108088,2.733999287,,,,,,Y,
Pf9_DB,,ConvNR,18to59,1.602059991,Delta,13,35,2.371067862,,2.025305865,2.701567985,,,,,,Y,
Pf9_DB,,ConvNR,18to59,1.602059991,Epsilion,13,35,2.673020907,,2.444044796,2.942999593,,,,,,Y,
Pf9_DB,,ConvNR,18to59,1.602059991,Lambda ,13,35,2.409933123,,2.11058971,2.689308859,,,,,,Y,
Pf9_DB,,ConvNR,18to59,1.602059991,Mu,13,35,2.045322979,,1.681241237,2.414973348,,,,,,Y,
Pf10_DB,Obs,PF_Pf,18to60,1,WT,30,28,2.737192643,,1.280122896,1.345765693,,,,,,Y,
Pf10_DB,Obs,PF_Pf,18to60,1,WT,30,150,2.1430148,,1.166430114,1.241297387,,,,,,Y,
Pf10_DB,Obs,PF_Pf,18to60,1,Omicron,30,28,0.903089987,,0.954724791,1.01745073,,,,,,N,
Pf10_DB,Obs,PF_Pf,18to60,1,Omicron,30,150,0.954242509,,0.935003151,1.020361283,,,,,,N,
Pf10_DB,Obs,Pf_Pf_Pf,18to60,1,WT,30,28,3.795254183,,1.482873584,1.534026106,,,,,,Y,
Pf10_DB,Obs,Pf_Pf_Pf,18to60,1,Omicron,30,28,3.077367905,,1.340047318,1.411114419,,,,,,Y,
Pf10_DB,Obs,ConvNR,18to60,1,WT,30,45,2.693726949,,1.274619619,1.359076226,,,,,,Y,
Pf10_DB,Obs,ConvNR,18to60,1,WT,30,365,1.968482949,,1.144262774,1.221674997,,,,,,Y,
Pf10_DB,Obs,ConvNR,18to60,1,Omicron,30,45,0.77815125,,0.92251786,0.992950961,,,,,,N,
Pf10_DB,Obs,ConvNR,18to60,1,Omicron,30,365,0.903089987,,0.943494516,1.006893708,,,,,,N,
Pf11_DB,Obs,PF_Pf,18to69,1,Beta,18,15,2.093421685,2.499687083,,,,,,,,Y,
Pf11_DB,Obs,PF_Pf,18to69,1,Gamma,18,15,2.408239965,2.638489257,,,,,,,,Y,
Pf11_DB,Obs,PF_Pf,18to69,1,Delta,18,15,2.73479983,3.056142262,,,,,,,,Y,
Pf11_DB,Obs,PF_Pf,18to69,1,Epsilon,18,15,2.557507202,2.51054501,,,,,,,,Y,
Pf11_DB,Obs,PF_Pf,18to69,1,WT,18,15,3.21005085,3.353916231,,,,,,,,Y,
Pf11_DB,Obs,PF_Pf,Nursing,1,Beta,8,35,3.790425917,3.705692697,,,,,,,,Y,
Pf11_DB,Obs,PF_Pf,Nursing,1,Gamma,8,35,4.165570741,3.831037486,,,,,,,,Y,
Pf11_DB,Obs,PF_Pf,Nursing,1,Delta,8,35,4.889396957,4.899234849,,,,,,,,Y,
Pf11_DB,Obs,PF_Pf,Nursing,1,Epsilon,8,35,3.906173364,3.856668484,,,,,,,,Y,
Pf11_DB,Obs,PF_Pf,Nursing,1,WT,8,35,5.031210462,4.32085222,,,,,,,,Y,
Pf11_DB,Obs,ConvNR,18to69,1,Beta,19,105,2.086359831,2.999565488,,,,,,,,Y,
Pf11_DB,Obs,ConvNR,18to69,1,Gamma,19,105,2.352182518,3.206015877,,,,,,,,Y,
Pf11_DB,Obs,ConvNR,18to69,1,Delta,19,105,2.36361198,3.065206128,,,,,,,,Y,
Pf11_DB,Obs,ConvNR,18to69,1,Epsilon,19,105,2.451786436,3.277838333,,,,,,,,Y,
Pf11_DB,Obs,ConvNR,18to69,1,WT,19,105,2.645422269,3.31868927,,,,,,,,Y,
